  PID STAT S TTY          TIME COMMAND
26167 S    S ?        00:00:00 sshd
26168 Ss   S pts/10   00:00:00 bash
26258 S+   S pts/10   00:00:00 nano
26730 S    S ?        00:00:00 kworker/u:1
27039 Ss+  S tty1     00:00:00 getty
27119 SLs  S ?        00:00:00 sshd
27128 S    S ?        00:00:00 sshd
27129 Ss+  S pts/12   00:00:00 bash
27329 SLs  S ?        00:00:00 sshd
27334 S    S ?        00:00:00 sshd
27335 Ss   S ?        00:00:00 sftp-server
27340 SLs  S ?        00:00:00 sshd
27346 S    S ?        00:00:00 sshd
27347 Ss   S ?        00:00:00 sftp-server
27797 Sl   S ?        00:00:18 udisks-daemon
27798 S    S ?        00:00:20 udisks-daemon
27801 Sl   S ?        00:00:09 polkitd
28502 SLsl S ?        00:02:12 nscd
29382 SLs  S ?        00:00:00 sshd
29392 S    S ?        00:00:07 sshd
29393 Ss+  S pts/13   00:00:00 bash
29501 Sl   S pts/13   00:00:18 gedit
29506 S    S pts/13   00:00:00 dbus-launch
29507 Ss   S ?        00:00:00 dbus-daemon
29512 Sl   S ?        00:00:00 dconf-service
29520 SLs  S ?        00:00:00 sshd
29525 S    S ?        00:00:00 sshd
29526 Ss   S ?        00:00:00 sftp-server
29550 SLs  S ?        00:00:00 sshd
29555 S    S ?        00:00:00 sshd
29556 Ss   S ?        00:00:00 sftp-server
29687 SLs  S ?        00:00:00 sshd
29702 S    S ?        00:00:00 sshd
29703 Ss+  S pts/17   00:00:00 bash
29885 SLs  S ?        00:00:00 sshd
29900 S    S ?        00:00:01 sshd
29901 Ss   S pts/16   00:00:00 bash
30013 S    S ?        00:00:00 kworker/3:1
30032 S+   S pts/16   00:00:06 nano
30033 SLs  S ?        00:00:00 sshd
30048 S    S ?        00:00:00 sshd
30049 Ss   S pts/18   00:00:00 bash
30487 S+   S pts/2    00:00:00 mysql
30543 S    S ?        00:00:00 kworker/2:2
30620 Ss   S ?        00:00:00 slim
30623 Ss+  S tty7     00:00:00 Xorg
30630 SLs  S ?        00:00:00 sshd
30639 S    S ?        00:00:00 sshd
30640 Ss   S ?        00:00:00 sftp-server
30792 SLs  S ?        00:00:00 sshd
30797 S    S ?        00:00:00 sshd
30798 Ss   S pts/4    00:00:00 bash
30900 S+   S pts/4    00:00:01 emacs
31063 SLs  S ?        00:00:00 sshd
31073 S    S ?        00:00:00 sshd
31074 Ss+  S pts/0    00:00:00 bash
31197 S    S ?        00:00:00 kworker/u:2
31467 S    S ?        00:00:00 kworker/0:1
31487 SLs  S ?        00:00:00 sshd
31489 SLs  S ?        00:00:00 sshd
31493 SLs  S ?        00:00:00 sshd
31503 S    S ?        00:00:00 sshd
31504 Ss   S pts/1    00:00:00 bash
31509 S    S ?        00:00:00 lockd
31510 S<   S ?        00:00:00 nfsd4
31511 S<   S ?        00:00:00 nfsd4_callbacks
31512 S    S ?        00:00:00 nfsd
31513 S    S ?        00:00:00 nfsd
31514 S    S ?        00:00:00 nfsd
31515 S    S ?        00:00:00 nfsd
31516 S    S ?        00:00:00 nfsd
31517 S    S ?        00:00:00 nfsd
31518 S    S ?        00:00:00 nfsd
31519 S    S ?        00:00:00 nfsd
31524 Ss   S ?        00:00:00 rpc.mountd
31589 Ss   S ?        00:00:00 rpc.statd
31601 Ss   S ?        00:00:03 rpc.idmapd
31606 S    S ?        00:00:00 sshd
31607 Ss   S pts/3    00:00:00 bash
31699 S    S ?        00:00:00 sshd
31700 Ss   S pts/7    00:00:00 bash
31801 S+   S pts/7    00:00:00 nano
31803 S+   S pts/3    00:00:00 nano
31808 S+   S pts/1    00:00:00 nano
31874 SLs  S ?        00:00:00 sshd
31879 S    S ?        00:00:00 sshd
31880 Ss   S ?        00:00:00 sftp-server
31881 SLs  S ?        00:00:00 sshd
31886 S    S ?        00:00:00 sshd
31887 Ss   S ?        00:00:00 sftp-server
31926 S    S ?        00:00:00 kworker/1:2
31937 S    S ?        00:00:00 kworker/2:1
32148 S    S ?        00:00:00 kworker/1:1
32168 S    S ?        00:00:00 kworker/0:2
32226 S    S ?        00:00:00 flush-0:22
32227 S    S ?        00:00:00 kworker/1:0
32271 S    S ?        00:00:00 flush-0:20
32275 S    S ?        00:00:00 kworker/0:0
32281 S    S ?        00:00:00 kworker/2:0
32313 R+   R pts/18   00:00:00 ps
